Visa Rank	Employer	H1B LCA(2017-2019) (Denied, Withdrawn/Total)	Green Card LC(2017-2019)  (Denied, Withdrawn/Total)
5978	-	Brofish Llc D/B/A/ Blue Ribbon Sushi Bar Grill	-	-
5979	-	Tkr Technologies Inc.	-	-
5980	-	Elmer's Diner, Inc.	-	-
5981	-	Mindsource Inc	-	-
5982	-	Exacttarget, Inc.	-	-
5983	-	Invoicing And Management Services Inc	-	-
5984	-	El Rancho Grande Mexican Restaurant	-	-
5985	-	Citizant, Inc.	-	-
5986	-	Titanium, Inc.	-	-
5987	-	Web Bugs, Inc.	-	-
5988	-	Ducom Systems Inc.	-	-
5989	-	4medica	-	-
5990	-	Komli Media Incorporated	-	-
5991	-	Symphony Teleca Services, Inc.	-	-
5992	-	Yk International, Inc.	-	-
5993	-	Jungjoy, Inc.	-	-
5994	-	Asap Automation Llc	-	-
5995	-	Medhok Healthcare Solutions, Llc	-	-
5996	-	Vindicia, Inc.	-	-
5997	-	Boxtone, Inc.	-	-
5998	-	Tata Industries Ltd	-	-
5999	-	A.M. Castaneda Inc. Dba Santana's Mexican Food	-	-
6000	-	Visionary Integration Professionals, Llc	-	-
6001	-	Malnati Organization, Inc.	-	-
6002	-	1384 Bay Street Pub D/B/A Danny Blaine's Restauran	-	-
6003	-	Simtech Solutions, Inc.	-	-
6004	-	Red Bumper Llc	-	-
6005	-	Pali Solutions Inc	-	-
6006	-	Bravepoint, Inc.	-	-
6007	-	J. M. Macias, Inc.	-	-
6008	-	Rani Mahal Fine Indian Cuisine Inc.	-	-
6009	-	C2 Design Automation Dba Forte Design Systems	-	-
6010	-	Ichiban Sushi 1, Inc.	-	-
6011	-	Zama Limited, Llc	-	-
6012	-	Select Hotels Group, Llc	-	-
6013	-	Lucky Lemons At Nantasket, Inc.	-	-
6014	-	Atlas Intelligence, Inc.	-	-
6015	-	N.N.D.A. Inc D/B/A The Barile's Planet Pizza	-	-
6016	-	Casey's Steaks And Bbq Llc	-	-
6017	-	Imagem, Inc.	-	-
6018	-	Cn-Tec, Llc	-	-
6019	-	Brain Zoo Studios	-	-
6020	-	Sierra Cybernetics, Inc.	-	-
6021	-	Global Portfolio Management Systems, Llc	-	-
6022	-	Xceed Infotek, Inc.	-	-
6023	-	Cillium Corp.	-	-
6024	-	Insite Software Solutions	-	-
6025	-	Viryanet, Inc.	-	-
6026	-	The Mexican Restaurant Inc.	-	-
6027	-	Sarabeth's	-	-
6028	-	En Los Feliz, Inc.	-	-
6029	-	Dynamo Development, Inc.	-	-
6030	-	Vantageforce Inc	-	-
6031	-	Cgnet Services International	-	-
6032	-	Sankalp & Shanti Llc.	-	-
6033	-	Allenport Co	-	-
6034	-	Broy Group, Inc	-	-
6035	-	Five Point Partners, Llc	-	-
6036	-	Parpas America Corporation	-	-
6037	-	Dendrite International, Inc.	-	-
6038	-	Jump Tokyo	-	-
6039	-	Antica Posta Ristorante, Inc	-	-
6040	-	Thomson Financial Llc	-	-
6041	-	Koizumi Masaki & Taiji Mineo Ptrs	-	-
6042	-	Cbeyond Communications, Llc	-	-
6043	-	Capital Consultancy Services, Inc	-	-
6044	-	Capita Technologies Inc	-	-
6045	-	Biztech	-	-
6046	-	The Black Bass Hotel Associates, Inc.	-	-
6047	-	Double R Foods Inc	-	-
6048	-	Smart Pizza Systems Inc.	-	-
6049	-	Doingwap.Net Inc.	-	-
6050	-	Dante Consulting, Inc.	-	-
6051	-	Uniquely Mia, Dba: Radha Consulting	-	-
6052	-	Bakersfield Investments, Inc.	-	-
6053	-	New Dream Network, Llc	-	-
6054	-	Simply Thai Corner, Llc.Inc.	-	-
6055	-	Gdg Lynchburg Hotel, Llc	-	-
6056	-	Machana Associates, Inc.	-	-
6057	-	Indusoft, Inc.	-	-
6058	-	Bellerose Subway Inc.	-	-
6059	-	Tt Government Solutions, Inc.	-	-
6060	-	Argos, Inc.	-	-
6061	-	Delizia Restaurant Corp.	-	-
6062	-	Alliance Tech, Inc.	-	-
6063	-	Trans Am Travel, Inc.	-	-
6064	-	Nyvasoft Inc	-	-
6065	-	It By Design, Inc	-	-
6066	-	Nastec International, Inc.	-	-
6067	-	Whitehead Enterprises Llc	-	-
6068	-	Tejes Services Inc	-	-
6069	-	The Nut Club Ltd.	-	-
6070	-	Aurora Strategies, Inc.	-	-
6071	-	Chopstick Express, Inc.	-	-
6072	-	Global Computer Enterprises, Inc.	-	-
6073	-	Korea Rest Llc	-	-
6074	-	Peaksware Llc	-	-
6075	-	Xamarin, Inc.	-	-
6076	-	Diplomat Hotel Corporation	-	-
6077	-	Symphony Services Corp.	-	-
6078	-	Scenic Homes Dba Phoenicis Restaurant	-	-
6079	-	Generatione Consulting, Llc	-	-
6080	-	Personal Health Labs, Llc	-	-
6081	-	Wireless Generation, Inc.	-	-
6082	-	Public Verification Inc	-	-
6083	-	Lifesaver Software, Inc.	-	-
6084	-	Velspir Enterprises Inc	-	-
6085	-	Arirang Of Japan, Inc.	-	-
6086	-	Brother Bruno Of Monticello, Inc.	-	-
6087	-	Wojdyla Enterprises Inc. Dba Bohemian Garden Resta	-	-
6088	-	Benjarong Thai Restaurant	-	-
6089	-	Lucidity Consulting Group Lp	-	-
6090	-	Employmentscape, Inc.	-	-
6091	-	Vanceinfo Technologies Inc.	-	-
6092	-	Lanfen	-	-
6093	-	Club Quarters Management Co., Llc	-	-
6094	-	Om Consultancy Services Inc.	-	-
6095	-	News America Incorporated	-	-
6096	-	Devicescape Software, Inc.	-	-
6097	-	Life In Crystal Llc	-	-
6098	-	Televes Usa, Llc	-	-
6099	-	Meskouris Bros, Inc	-	-
6100	-	Snapper Inn, Inc.	-	-
6101	-	Mullen Communications, Inc.	-	-
6102	-	Hankang, Inc.	-	-
6103	-	Live365, Inc.	-	-
6104	-	Gebbs Software International Inc.	-	-
6105	-	Ubiquity Recordings, Inc.	-	-
6106	-	Internet Broadcasting Corp	-	-
6107	-	Mark's Mex., Inc.	-	-
6108	-	Infonox On The Web, Inc.	-	-
6109	-	Incapture Technologies Llc	-	-
6110	-	Elitesoft Inc	-	-
6111	-	3j's Specialty Llc	-	-
6112	-	Pht Corporation	-	-
6113	-	Daniel Fries Productions, Inc.	-	-
6114	-	Mesa Hotels Llc	-	-
6115	-	Fuhu, Inc.	-	-
6116	-	Chat American Grill	-	-
6117	-	Dit Drug Information Technologies Inc.	-	-
6118	-	R.B. -Love Boat Group, Inc.	-	-
6119	-	Blue Slate Solutions	-	-
6120	-	Proval Technologies, Inc	-	-
6121	-	Shopvisible, Llc	-	-
6122	-	Application Security, Inc.	-	-
6123	-	Multimedia Abacus Corporation Dba Cerenade	-	-
6124	-	E C Group, Inc. D/B/A Kokeeri	-	-
6125	-	New Shanghai Restaurant	-	-
6126	-	Sy1, Lp	-	-
6127	-	Now Solutions Inc.	-	-
6128	-	Knowrtal Llc	-	-
6129	-	Kosher Class, Inc. Dba Glatt-A-La-Carte	-	-
6130	-	Anco Holding, Inc.	-	-
6131	-	Jumpstart Wireless Corporation	-	-
6132	-	Nicenet Systems Inc	-	-
6133	-	Bam Corporation	-	-
6134	-	Rhdynamics, Inc.	-	-
6135	-	Adelphic, Inc.	-	-
6136	-	V1, Llc Dba Tgi Fridays #1561	-	-
6137	-	Startup Weekend	-	-
6138	-	2641 Restaurant Corp.	-	-
6139	-	Vox, Inc.	-	-
6140	-	Business Integration Technology Solutions, Inc.	-	-
6141	-	Compu-Data Intenational, Llc	-	-
6142	-	Pizza Rustica	-	-
6143	-	New Cafe Concepts, Inc	-	-
6144	-	Interactive Data Managed Solutions, Llc	-	-
6145	-	Ascendix Technologies, Inc.	-	-
6146	-	Eunify, Inc.	-	-
6147	-	Ipexpert, Inc.	-	-
6148	-	Martech Computers	-	-
6149	-	Sure Destiny, Llc	-	-
6150	-	Digital Arts America, Inc.	-	-
6151	-	Apt Source Inc	-	-
6152	-	Scalebase, Inc.	-	-
6153	-	Quality In Motion, Inc.	-	-
6154	-	Latista Technologies, Inc	-	-
6155	-	Antonello Ristorante Inc.	-	-
6156	-	Mncl, Inc.	-	-
6157	-	Infian Llc	-	-
6158	-	Booklyn Burns	-	-
6159	-	Autonomy Digital Llc	-	-
6160	-	Etilize, Inc.	-	-
6161	-	Mimic Technologies, Inc.	-	-
6162	-	Paulk & Paulk, Inc.	-	-
6163	-	Idle Games, Inc.	-	-
6164	-	Hoover Foods, Inc.	-	-
6165	-	Proconceptions Llc	-	-
6166	-	Spectrum It Global, Inc.	-	-
6167	-	Boustany Investment Group, Inc.(Alladin's Eatery)	-	-
6168	-	Vfs Fire & Security	-	-
6169	-	Los Amigos Of Seneca, Inc.	-	-
6170	-	Medin And Elcot Corp.	-	-
6171	-	Netech Corporation	-	-
6172	-	Cocomo Island Inc. Dba Sushi Island	-	-
6173	-	Syncada Llc	-	-
6174	-	Applied Flow Technology Corporation	-	-
6175	-	United Computer Solutions Inc.	-	-
6176	-	Penntex Group, Llc	-	-
6177	-	Pete & Lou Inc	-	-
6178	-	Nassau Sushi Cafe Corp	-	-
6179	-	Lemek Llc	-	-
6180	-	Computer Zone, Inc	-	-
6181	-	Kamakura Japanese Restaurant	-	-
6182	-	Pigeon Point Systems Llc	-	-
6183	-	Mono Jb, Inc.	-	-
6184	-	Systems In Motion, Llc	-	-
6185	-	Noran-Land Engineering Corp. Dba Nei Software	-	-
6186	-	Datasoft Software Consulting Inc.	-	-
6187	-	Pierce Technology Corporation	-	-
6188	-	Mr Corp. ; Dba 'Avellino's Pizza And Grille'	-	-
6189	-	La Casa Anaheim Resort Llc	-	-
6190	-	Vertex, Incorporated	-	-
6191	-	Pei Wei Asian Diner Inc	-	-
6192	-	S.A.V. Associates Inc.	-	-
6193	-	Donovan Hospitality Llc	-	-
6194	-	Premier Retail Networks	-	-
6195	-	Rog Florida Llc	-	-
6196	-	El Rodeo-Pearl Inc	-	-
6197	-	Capstone Technology Corporation	-	-
6198	-	Another Slice, Inc. D.B.A Domino's Pizza	-	-
6199	-	Patient Logic, Inc.	-	-
6200	-	Gibson Pl Lodging Realty Inc. T/A Radisson Hotel Of Freehold	-	-
6201	-	Don Nyc, Inc.	-	-
6202	-	Dietz Stadium Diner Of Kingston, Inc.	-	-
6203	-	Koger Inc.	-	-
6204	-	Thinking Solution Inc.	-	-
6205	-	My Alarm Center	-	-
6206	-	Quiznos Classic Subs	-	-
6207	-	Iolo Technologies, Llc	-	-
6208	-	Ensuant Inc.	-	-
6209	-	Cibergate, Inc D/B/A It First Source	-	-
6210	-	Allot Communications, Inc.	-	-
6211	-	Seamless North America, Llc	-	-
6212	-	Music Mastermind, Inc.	-	-
6213	-	Bmsl Properties Nc Inc	-	-
6214	-	Signaldemand, Inc.	-	-
6215	-	Equator, Llc	-	-
6216	-	First Samurai Inc.	-	-
6217	-	Twc Enterprises Iii Llc D/B/A Sorrento Ristorante	-	-
6218	-	Bullseye Jobs, Inc.	-	-
6219	-	Dore- Art Corporation Dba Arthur's Tavern	-	-
6220	-	Enterasys Networks, Inc.	-	-
6221	-	Epocrates, Inc.	-	-
6222	-	Technical-Link N. America	-	-
6223	-	Exuberant, Inc.	-	-
6224	-	Zoo Digital Inc	-	-
6225	-	Carlson, Inc.	-	-
6226	-	Nemetschek Vectorworks	-	-
6227	-	Bugsy Holdings Inc	-	-
6228	-	Engage Information Incorporated	-	-
6229	-	Moby Dick Iv	-	-
6230	-	Flexstar Technology, Inc	-	-
6231	-	Neolane, Inc.	-	-
6232	-	Varolii Corporation	-	-
6233	-	Iso Claims Partners	-	-
6234	-	Zeno, Inc.	-	-
6235	-	Mind Over Machines, Inc.	-	-
6236	-	Red Bean System, Inc. T/A Sala Thai (U Street)	-	-
6237	-	Neversoft Entertainment, Inc.	-	-
6238	-	Integrity On-Site, Llc	-	-
6239	-	Sqa Services, Inc.	-	-
6240	-	Bjg Food Corp	-	-
6241	-	Great Lake Data Systems, Inc.	-	-
6242	-	Tacit Knowledge, Inc.	-	-
6243	-	Red Hot & Blue	-	-
6244	-	Inhance Digital Corporation	-	-
6245	-	Bartronics America, Inc	-	-
6246	-	Lenards Llc	-	-
6247	-	Nai, Inc.	-	-
6248	-	Jpl Int'L Inc	-	-
6249	-	Kajal Rani Inc	-	-
6250	-	Arzina Hossaini	-	-
6251	-	Iclops, Llc	-	-
6252	-	Soluxions Llc	-	-
6253	-	Commerce Solutions, Inc.	-	-
6254	-	Federated Sample, Llc	-	-
6255	-	L-3 Communications, Security & Detection Systems	-	-
6256	-	Thai Smile Inc	-	-
6257	-	Pauls Place	-	-
6258	-	American It Associates, Inc.	-	-
6259	-	Banana Leaf Llc	-	-
6260	-	Togetherville, Inc.	-	-
6261	-	Santini's Oakton, Inc.	-	-
6262	-	Mirror Plus Technologies, Inc.	-	-
6263	-	Airport Shoppes, Corp.	-	-
6264	-	Tss Software Corporation	-	-
6265	-	Michell Enterprises Llc	-	-
6266	-	Quickpay Corp.	-	-
6267	-	Hotel Villa Portofino	-	-
6268	-	Saigon Saigon, Inc.	-	-
6269	-	Snibbe Interactive	-	-
6270	-	A&R Foods Inc. T/A Burger King Restaurant	-	-
6271	-	Datpro Inc.	-	-
6272	-	Capscient Corporation	-	-
6273	-	Starlims Corporation	-	-
6274	-	Fluency Forums Corporation	-	-
6275	-	Pageflex, Inc.	-	-
6276	-	Archibald's Char-Broiler Drive Thru	-	-
6277	-	Krokis Corp	-	-
6278	-	Jhoon, Inc.	-	-
6279	-	Rocc Suniland, Llc	-	-
6280	-	Hhp Enterprises Llc	-	-
6281	-	Enome, Inc.	-	-
6282	-	Yen's Chinese Restaurant, Inc.	-	-
6283	-	Kryptiq Corporation	-	-
6284	-	Ram Tech Systems, Inc	-	-
6285	-	Pine Tree House Inc.	-	-
6286	-	Cognitive It Solutions, Llc	-	-
6287	-	Airwatch, Llc	-	-
6288	-	Newtown, Inc. D/B/A Taste In Mediterranean	-	-
6289	-	Rational Systems, Llc	-	-
6290	-	Peritus Information Services Ltd	-	-
6291	-	Dras Inc Dba Guru Indian Cuisine	-	-
6292	-	Alex & Cherry Corporation	-	-
6293	-	Rainstor, Inc.	-	-
6294	-	Tysons National, Inc.	-	-
6295	-	Getfused, Inc.	-	-
6296	-	North Carolina Community Care Networks Inc.	-	-
6297	-	Take Solutions, Inc	-	-
6298	-	Westwood Noodle Kitchen, Inc.	-	-
6299	-	Jolly Hotel Madison Towers	-	-
6300	-	Tnj Management, Llc	-	-
6301	-	Fiserv Solutions, Inc.	-	-
6302	-	Peninsula New York Hotel Llc	-	-
6303	-	Klout, Inc.	-	-
6304	-	Ba-Insight, Llc	-	-
6305	-	Immunity, Inc.	-	-
6306	-	Creek Systems, Inc.	-	-
6307	-	Integrand Software, Inc.	-	-
6308	-	Rhinoceros Visual Effects And Design, Llc.	-	-
6309	-	Siesta Motor Inn, Inc.	-	-
6310	-	Guisos Lurdel Of San Antonio, Llc	-	-
6311	-	Kaaga Technologies, Inc	-	-
6312	-	Telly, Inc.	-	-
6313	-	Crystalfish Inc.	-	-
6314	-	Fine Solutions	-	-
6315	-	Praxis Interactive Inc.	-	-
6316	-	D & H Group, Inc.	-	-
6317	-	Yessoft Llc	-	-
6318	-	Tlc Refreshments, Inc.	-	-
6319	-	Estream Technology Solutions, Llc	-	-
6320	-	Splendtek Inc	-	-
6321	-	Shrin Hospitality Llc	-	-
6322	-	Harrington Hotel Company, Inc.	-	-
6323	-	Npario	-	-
6324	-	China Way Inc	-	-
6325	-	Samker Corporation Dba The Offstage Group	-	-
6326	-	Siliconaid Solutions, Inc.	-	-
6327	-	Sycamore Leaf Solutions, Llc	-	-
6328	-	4xor Corporation	-	-
6329	-	Devs Foods, Llc	-	-
6330	-	Sigma Holdings, Llc Dba Fifth Gear	-	-
6331	-	Cssn, Inc.	-	-
6332	-	Spring Technologies, Inc.	-	-
6333	-	Electionear, Inc.	-	-
6334	-	Reliance Information Technology,Inc	-	-
6335	-	Lal Qila, Inc.	-	-
6336	-	A&S Pizza Of Virginia D/B/A Sal's Pizzeria	-	-
6337	-	Cafe Milan, Inc.	-	-
6338	-	Ffpb Mechanicsburg, Llc Dba Bombay Junction Restaurant	-	-
6339	-	Election Administrators Llc	-	-
6340	-	Phoenix Analysis & Design Technologies, Inc.	-	-
6341	-	Gina's Pizza Inc	-	-
6342	-	Magilink Management, Inc.	-	-
6343	-	Dynamix Usa, Llc	-	-
6344	-	Nextace Corporation	-	-
6345	-	General Dynamics Fidelis Cybersecurity Solution	-	-
6346	-	Intech Bizsolutions	-	-
6347	-	Paperfree Corporation	-	-
6348	-	Verance Corporation	-	-
6349	-	315 Fifth Avenue Inc., D/B/A Third Floor Cafe	-	-
6350	-	Best Restaurant Inc.	-	-
6351	-	Nexaweb Technologies, Inc.	-	-
6352	-	Nalanda Technology, Inc	-	-
6353	-	Dynamic Object Language Labs, Inc	-	-
6354	-	Ccp North America, Inc.	-	-
6355	-	Locust Avenue Associates, Llc. T/A	-	-
6356	-	Sidney B. Bowne & Son, Llp	-	-
6357	-	Koll Group, Corp.	-	-
6358	-	Ezwings Processing	-	-
6359	-	Omgeo Llc	-	-
6360	-	Optimal Office Solutions Llc	-	-
6361	-	Life3d Llc	-	-
6362	-	Rethink Group Inc	-	-
6363	-	Matrix42 Usa, Inc.	-	-
6364	-	Network Hardware Resale	-	-
6365	-	Commtech Consulting Services, Inc.	-	-
6366	-	Ba Technolinks Corp	-	-
6367	-	Revitas, Inc.	-	-
6368	-	Tangent Computers Inc	-	-
6369	-	Cyber Professionals Inc.	-	-
6370	-	Wb King Pizza And Donut Restaurant	-	-
6371	-	Crown Point Catering, Inc.	-	-
6372	-	Vap Technology Group	-	-
6373	-	I Scope Technology Inc.	-	-
6374	-	The Workshop Entertainment, Inc.	-	-
6375	-	Cenzic, Inc.	-	-
6376	-	Mccamish Systems, Llc	-	-
6377	-	Qsr Management Llc	-	-
6378	-	Antonicola, Inc.	-	-
6379	-	Midwest Hospitality, Inc	-	-
6380	-	Wireless Matrix Usa Corp.	-	-
6381	-	G And D Restaurant Associates Llc	-	-
6382	-	Papatzul Llc	-	-
6383	-	Webfilings Llc	-	-
6384	-	Little Chinese Kitchen	-	-
6385	-	Bloomfire, Inc.	-	-
6386	-	Ray Ray Thai Inc. D/B/A National	-	-
6387	-	Unified Systems, Inc.	-	-
6388	-	Hampton Inn Sepulveda, Inc.	-	-
6389	-	L'Opera, Inc.	-	-
6390	-	Asian Inc. T/A Cafe Asia	-	-
6391	-	G. Edward Business Solutions Inc	-	-
6392	-	Keyhole Software	-	-
6393	-	Tutto Ii Giorno Ii D/B/A Tutto Il Giorno	-	-
6394	-	Ark Restaurants Corp	-	-
6395	-	Virrtuo Techsoft Inc	-	-
6396	-	Horizon Technology Partners, Inc.	-	-
6397	-	L & W Inc. Full House Seafood Restaurant	-	-
6398	-	Next Millennium Systems	-	-
6399	-	Value Place Property Management, Llc	-	-
6400	-	Maison Louisiane Catering	-	-
6401	-	Psaras Etal Partnership (Dba Harry's Cafe #2)	-	-
6402	-	Brinker International, Inc.; Dba Chili's Grill And Bar	-	-
6403	-	Sichuan Bistro, Inc.	-	-
6404	-	Razorsight Corporation	-	-
6405	-	Navinet, Inc.	-	-
6406	-	Westin Engineering, Inc.	-	-
6407	-	Capstone Worldwide Inc.	-	-
6408	-	Znode, Inc.	-	-
6409	-	Education Management Solutions, Inc.	-	-
6410	-	Talavera Coral Gables Llc	-	-
6411	-	Online Services Corporation Llc	-	-
6412	-	El Meson Cafe	-	-
6413	-	Microsoft Caribbean, Inc.	-	-
6414	-	Professional Innovations, Inc.	-	-
6415	-	Mobile Defense, Inc.	-	-
6416	-	Snug Harbor Inc	-	-
6417	-	Global Sourcing Group, Inc.	-	-
6418	-	Top Network Solutions, Inc.	-	-
6419	-	Tangerine Solutions Llc	-	-
6420	-	Cosmopolitan Broadcasting Corporation	-	-
6421	-	Lynuxworks, Inc.	-	-
6422	-	Lin Manufacturing & Design, Llc	-	-
6423	-	Acc Technical Services	-	-
6424	-	Fodoan Corporation, Inc.; Dba Capriccio	-	-
6425	-	Luitporia Software Consultancy Inc.	-	-
6426	-	Black Watch Productions Inc	-	-
6427	-	Access Innovations, Inc.	-	-
6428	-	Jordan Specialty Food	-	-
6429	-	Final Cut La, Inc.	-	-
6430	-	Link-Systems International, Inc.	-	-
6431	-	Skm Solutions Corp	-	-
6432	-	Quintel-Mc, Inc.	-	-
6433	-	Park Sarang, Inc	-	-
6434	-	T2 Systems, Inc.	-	-
6435	-	Trustedid, Inc.	-	-
6436	-	Totally Networked, Inc	-	-
6437	-	E21 Corporation	-	-
6438	-	Global Smart Business Llc	-	-
6439	-	Spawn Labs, Inc.	-	-
6440	-	Villa Mia Inc	-	-
6441	-	Chang Jiang Enterprise, Inc	-	-
6442	-	T&J Fresh Co.	-	-
6443	-	Inprisol, Inc.	-	-
6444	-	Bob's Restaurant	-	-
6445	-	Accretive Technology Group	-	-
6446	-	Mechanical Enterprises, Inc.	-	-
6447	-	Ritesh Real State Corporation	-	-
6448	-	Iron Data Solutions, Llc	-	-
6449	-	S&H North America	-	-
6450	-	Optionmonster Holdings, Inc.	-	-
6451	-	Phlox Design	-	-
6452	-	Ignited Games, Inc.	-	-
6453	-	Poor Henry's, Inc., Dba Ravello's	-	-
6454	-	Quality Check, Inc.	-	-
6455	-	Best Vision Family Corp.	-	-
6456	-	Emerald Health Services, Llc	-	-
6457	-	Regl Corp. D/B/A Pizza Classica	-	-
6458	-	Lok Wok Corporation	-	-
6459	-	Exigen Insurance Solutions, Inc.	-	-
6460	-	Woo Lae Oak Food Group Llc	-	-
6461	-	Stella Nova Technologies Inc.	-	-
6462	-	Global Ptm, Inc.	-	-
6463	-	House Of Japan Restaurant	-	-
6464	-	Adny, Inc.	-	-
6465	-	Comso, Inc.	-	-
6466	-	Esquema Inc	-	-
6467	-	Salt Creek Grille	-	-
6468	-	Rey Azteca Restaurant	-	-
6469	-	Ye Old King's Head, Inc.	-	-
6470	-	Asure Software, Inc.	-	-
6471	-	Tactel Us, Inc.	-	-
6472	-	Prospx, Inc.	-	-
6473	-	Orion Healthcare Technology, Inc.	-	-
6474	-	Kippu Japanese Restaurant	-	-
6475	-	Mountain Maids	-	-
6476	-	Rationalsoft, Inc.	-	-
6477	-	Apg Intel, Llc	-	-
6478	-	Shadishiva Inc.	-	-
6479	-	Vast Communications Llc	-	-
6480	-	Litle & Co., Llc	-	-
6481	-	Human Resource Profile, Inc.	-	-
6482	-	Tasty Goody Upland Inc.	-	-
6483	-	Nexus Is, Inc.	-	-
6484	-	Lm Group Inc.	-	-
6485	-	Saz Computer, Inc.	-	-
6486	-	Provista Software International Inc.	-	-
6487	-	Netmasterclass, Llc	-	-
6488	-	Woody's Books Inc.	-	-
6489	-	Manta Media, Inc.	-	-
6490	-	Quomation Insurance Services, Inc.	-	-
6491	-	50cubes Inc	-	-
6492	-	Ricky Asian Bistro Corp.	-	-
6493	-	Bca Technologies, Inc.	-	-
6494	-	Commscope Inc. Of North Carolina. 	-	-
6495	-	Good Day Cafe	-	-
6496	-	Rdm Camps, Llc	-	-
6497	-	Gemini Systems, Llc	-	-
6498	-	Springs Food Service	-	-
6499	-	Vitadex Inc Dba Questaweb Inc	-	-
6500	-	Inx, Inc.	-	-
6501	-	Nvelo, Inc.	-	-
6502	-	Bella Mia Restaurant Inc. A/K/A Dervish	-	-
6503	-	Erei	-	-
6504	-	Rocc Aventura Llc	-	-
6505	-	Verasa Management Llc	-	-
6506	-	United Way Of Southeast Louisiana	-	-
6507	-	Insys Consulting Inc.	-	-
6508	-	Silverlake Ramen	-	-
6509	-	Jasper Wireless, Inc.	-	-
6510	-	Cerrito Colorado, Inc.	-	-
6511	-	Paj 2002 Corp. Dba 9 Tastes	-	-
6512	-	Continuity Helath Solutions Llc	-	-
6513	-	Acentia Llc	-	-
6514	-	Sushi Nara	-	-
6515	-	Metropcs Texas, Llc	-	-
6516	-	November Enterprises, Inc.	-	-
6517	-	Sanpulse Technologies	-	-
6518	-	Sdl Tridion, Inc.	-	-
6519	-	Sabel Systems Technology Solutions, Llc	-	-
6520	-	Stefanini Techteam, Inc.	-	-
6521	-	Accurate Softwares International, Inc	-	-
6522	-	Kii Services Inc	-	-
6523	-	Iscs, Inc.	-	-
6524	-	New China Express	-	-
6525	-	Bear Code Llc	-	-
6526	-	Aasoftech, Inc.	-	-
6527	-	Amind Services Inc.	-	-
6528	-	Meru Networks Inc	-	-
6529	-	Chow Time 2, Llc	-	-
6530	-	Prithvi Catalytic Inc	-	-
6531	-	Navaja Pictures, Inc.	-	-
6532	-	James-Zac Corp.,	-	-
6533	-	Psi Metals North America Inc.	-	-
6534	-	Autonomy, Inc.	-	-
6535	-	Lee's Dragon Inc	-	-
6536	-	Mediakite Corp.	-	-
6537	-	National Security Industries And Services	-	-
6538	-	Network Equipment Technologies, Inc.	-	-
6539	-	Alltour Of America, Inc.	-	-
6540	-	Mycroft, Inc.	-	-
6541	-	Hadapt, Inc.	-	-
6542	-	H.R. Select Consultants, Inc	-	-
6543	-	Gl Trade Americas Inc.	-	-
6544	-	Vb Hospitality Llc	-	-
6545	-	New China, Inc.	-	-
6546	-	Corelink Administrative Solutions Llc	-	-
6547	-	Nes Associates Llc	-	-
6548	-	Global Cms Inc	-	-
6549	-	Celerity It Of Nj, Llc	-	-
6550	-	Blackapple Solutions Llc	-	-
6551	-	S&V Amplify Systems, Llc	-	-
6552	-	212 Pizzeria Corp D/B/A Sofia's Pizza Restaurant	-	-
6553	-	K & W Guan Investment Inc.	-	-
6554	-	Interactive Information R&D Llc D/B/A I2rd	-	-
6555	-	Weblinc Llc	-	-
6556	-	Symphonyiri Group, Inc.	-	-
6557	-	Abyss Group, Inc.	-	-
6558	-	Exacq Technologies, Inc.	-	-
6559	-	Rock Hill Hospitality, Inc.	-	-
6560	-	The Red Cat	-	-
6561	-	Veris Consulting, Inc.	-	-
6562	-	Unique Communications Solutions	-	-
6563	-	Medialab Ventures Llc	-	-
6564	-	Kongkrua Corporation Dba: Thai Basil Restaurant	-	-
6565	-	Arcadyan Technology North America Corp.	-	-
6566	-	Axis Technical Group, Inc.	-	-
6567	-	Medio Systems Inc	-	-
6568	-	Myenersave Inc. Dba Bidgely Inc.	-	-
6569	-	Primatics Financial, Llc	-	-
6570	-	Q Data Usa, Inc	-	-
6571	-	Ymax Communications Corporation	-	-
6572	-	Beta Soft Systems, Inc.	-	-
6573	-	Projectx Usa, Inc.	-	-
6574	-	Red Ripe Corp /Dba Le Petit Restraurant	-	-
6575	-	Core Business Technologies	-	-
6576	-	The Laxmi Group Inc.	-	-
6577	-	Soho New York Lodging Llc	-	-
6578	-	Actscom Usa, Inc.	-	-
6579	-	Sylvina's Travel Services, Inc.	-	-
6580	-	J & J Sushiyaki Corporation	-	-
6581	-	Scopus Consulting Group Inc.	-	-
6582	-	Ik Solutions Inc	-	-
6583	-	Bay Bridge Decision Technologies, Inc.	-	-
6584	-	Adcap Network Systems	-	-
6585	-	Rev Solutions, Inc.	-	-
6586	-	Predictix, Llc	-	-
6587	-	Orchid Infosystems, Inc.	-	-
6588	-	Cmk Food, Llc	-	-
6589	-	J.P.D.L. Enterprises, Inc. D/B/A Market Coffee Sh	-	-
6590	-	Ravello Solutions, Llc	-	-
6591	-	A Thinking Ape Inc.	-	-
6592	-	Misha Consulting Group, Inc.	-	-
6593	-	Loyalty Methods, Inc.	-	-
6594	-	Shogun Buffet And Hibachi Grill Of Asheville, Inc.	-	-
6595	-	Professional Software Associates, Inc.	-	-
6596	-	Salesmetrix, Inc.	-	-
6597	-	Microtech Services, Llc	-	-
6598	-	Condortech Services, Inc.	-	-
6599	-	Odesk Corporation	-	-
6600	-	Mekon Software Llc	-	-
6601	-	Virtual Construction, Inc.	-	-
